,runID,module,name,vectime,vecvalue,recordingmode,source,title,mecHostSelectionPolicy,numRbs,numUEs,u,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset
1,alertMec-0-20240213-16:41:54-18047,Alert5MEC.mecHost1.mecPlatform.mecService[0],responseTimeStat:vector,[ 2.10703525  2.10704064  2.11304144  2.13102511  2.13700797  7.30705147 12.70713881 18.10706522 19.60708571 21.70707761 21.70708708 27.10705424 32.50712371 34.00707345 36.10708792],[3.0366105e-05 3.5149336e-05 3.6550470e-05 2.0097583e-05 3.0812280e-06 1.4883100e-07 2.8825552e-05 5.8163180e-06 1.0660315e-05 3.2206502e-05 4.1518630e-05 6.6588460e-06 3.6440860e-06 2.8074117e-05 4.1326759e-05],vector,responseTime,Response time of foreground requests,"""MecServiceBased""",50,5,0,alertMec,20240213-16:41:54,20240213-164154,alertMec,omnetpp.ini,"$u=0, $numRbs=50, $numUEs=5, $mecHostSelectionPolicy=""MecServiceBased""",u=0/numRbs=50/numUEs=5/mecHostSelectionPolicy=MecServiceBased,"u=0,numRbs=50,numUEs=5,mecHostSelectionPolicy=MecServiceBased-","$u=0, $numRbs=50, $numUEs=5, $mecHostSelectionPolicy=""MecServiceBased""",simu5g.simulations.NR.mec.alert5MEC.Alert5MEC,18047,0,#0,results,0,0
0,alertMec-0-20240213-16:41:54-18047,Alert5MEC.ualcmp.ualcmpApp,responseTimeStat:vector,[1.01400368 1.01400482 1.0140055  1.03200761 1.03201055 1.03400464 1.03400589 1.0400028  1.05800367 1.06400396],[2.994410e-06 3.947879e-06 4.439162e-06 6.921070e-06 9.708158e-06 3.586942e-06 4.522265e-06 1.740763e-06 2.610476e-06 2.903189e-06],vector,responseTime,Response time of foreground requests,"""MecServiceBased""",50,5,0,alertMec,20240213-16:41:54,20240213-164154,alertMec,omnetpp.ini,"$u=0, $numRbs=50, $numUEs=5, $mecHostSelectionPolicy=""MecServiceBased""",u=0/numRbs=50/numUEs=5/mecHostSelectionPolicy=MecServiceBased,"u=0,numRbs=50,numUEs=5,mecHostSelectionPolicy=MecServiceBased-","$u=0, $numRbs=50, $numUEs=5, $mecHostSelectionPolicy=""MecServiceBased""",simu5g.simulations.NR.mec.alert5MEC.Alert5MEC,18047,0,#0,results,0,0
